Label,WikiDate ID,English Description,Language,Wiki Short Lang,Entry
Aad,Q300770,male given name,German,de,Aad
Aad,Q300770,male given name,English,en,Aad
Aad,Q300770,male given name,Persian,fa,آد
Aad,Q300770,male given name,Chinese,zh,阿德
Aadil,Q96476141,masculine given name,English,en,Aadil
Aadu (name),Q300780,male given name,German,de,Aadu
Aadu (name),Q300780,male given name,English,en,Aadu (name)
Aadu (name),Q300780,male given name,Estonian,et,Aadu
Aadu (name),Q300780,male given name,French,fr,Aadu
Aadu (name),Q300780,male given name,Chinese,zh,阿杜 (名)
Aage,Q8736877,male given name,Danish,da,Aage
Aage,Q8736877,male given name,German,de,Aage
Aage,Q8736877,male given name,English,en,Aage
Aage,Q8736877,male given name,Estonian,et,Aage
Aage,Q8736877,male given name,Persian,fa,آگه
Aage,Q8736877,male given name,French,fr,Aage
Aage,Q8736877,male given name,Icelandic,is,Aage
Aagje,Q300804,female given name,German,de,Aagje
Aagje,Q300804,female given name,English,en,Aagje
Aagje,Q300804,female given name,Chinese,zh,阿赫耶
Aagot,Q3482557,female given name,English,en,Aagot
Aagot,Q3482557,female given name,Icelandic,is,Aagot
Aake,Q16157880,given name,English,en,Aake
Aake,Q16157880,given name,Persian,fa,آکه
Aake,Q16157880,given name,Finnish,fi,Aake
Aake,Q16157880,given name,French,fr,Aake
Aaliyah (given name),Q111911843,given name,English,en,Aaliyah (given name)
Aaliyah (given name),Q111911843,given name,Chinese,zh,阿莉娅
Aaly,Q57150659,Wikimedia disambiguation page,German,de,Aaly
Aaly,Q57150659,Wikimedia disambiguation page,English,en,Aaly
Aamir (given name),Q30123614,male given name,English,en,Aamir (given name)
Aapo,Q16001311,male given name,English,en,Aapo
Aapo,Q16001311,male given name,Estonian,et,Aapo
Aapo,Q16001311,male given name,Finnish,fi,Aapo
Aapo,Q16001311,male given name,French,fr,Aapo
Aare (given name),Q25522181,male given name,English,en,Aare (given name)
Aare (given name),Q25522181,male given name,Estonian,et,Aare (eesnimi)
Aare (given name),Q25522181,male given name,Finnish,fi,Aare (nimi)
Aarne,Q21488023,family name,English,en,Aarne
Aarne,Q21488023,family name,Estonian,et,Aarne (perekonnanimi)
Aarne,Q21488023,family name,Persian,fa,آرنه
Aarne,Q21488023,family name,Finnish,fi,Aarne (sukunimi)
Aarne,Q21488023,family name,French,fr,Aarne
Aarne,Q21488023,family name,Chinese,zh,阿尔内 (姓)
Aarni (given name),Q13217185,male given name,English,en,Aarni (given name)
Aarni (given name),Q13217185,male given name,Finnish,fi,Aarni (nimi)
Aarni (given name),Q13217185,male given name,Chinese,zh,阿尔尼 (名)
Aarón,Q21401489,male given name,English,en,Aarón
Aarón,Q21401489,male given name,Spanish,es,Aarón (nombre)
Aarón,Q21401489,male given name,Galician,gl,Aarón (antroponimia)
Aaron (given name),Q905085,male given name,German,de,Aaron (Vorname)
Aaron (given name),Q905085,male given name,English,en,Aaron (given name)
Aaron (given name),Q905085,male given name,Finnish,fi,Aaron (nimi)
Aaron (given name),Q905085,male given name,Latin,la,Aaron (nomen)
Aaron (given name),Q905085,male given name,Polish,pl,Aaron (imię)
Aart,Q5277996,male given name,German,de,Aart
Aart,Q5277996,male given name,English,en,Aart
Aart,Q5277996,male given name,Persian,fa,آرت (نام)
Aarushi,Q93534273,Wikimedia disambiguation page,English,en,Aarushi
Aatos,Q6672912,male given name,German,de,Aatos
Aatos,Q6672912,male given name,English,en,Aatos
Aatos,Q6672912,male given name,Finnish,fi,Aatos
Aatos,Q6672912,male given name,French,fr,Aatos
Aavo,Q33557974,male given name,English,en,Aavo
Aavo,Q33557974,male given name,Estonian,et,Aavo
Aavo,Q33557974,male given name,Persian,fa,آوو (نام)
Ab (given name),Q303855,star in ancient Egypt,German,de,Ab (Dekan)
Ab (given name),Q303855,star in ancient Egypt,English,en,Ab (given name)
Ababu,Q4663133,family name,English,en,Ababu
Abagor,Q18208901,male given name,English,en,Abagor
Abamon,Q18208908,given name,English,en,Abamon
Aban (name),Q16001338,name: given name and family name,English,en,Aban (name)
Abani (name),Q16001344,family name,English,en,Abani (name)
Abas (name),Q16001346,name: given name and family name,English,en,Abas (name)
Abas (name),Q16001346,name: given name and family name,Armenian,hy,Աբաս (անձնանուն)
Abass,Q20155916,given name,English,en,Abass
Abataly,Q18208912,given name,English,en,Abataly
Abatte,Q4663581,family name,English,en,Abatte
Abay (name),Q4663596,family name,German,de,Abay (Familienname)
Abay (name),Q4663596,family name,English,en,Abay (name)
Abba (given name),Q65089281,unisex given name,English,en,Abba (given name)
Abbad,Q56247568,"Arabic name, given name, surname",Arabic,ar,عباد (اسم)
Abbad,Q56247568,"Arabic name, given name, surname",English,en,Abbad
Abbas (name),Q1158601,male given name,Arabic,ar,عباس (اسم)
Abbas (name),Q1158601,male given name,Catalan,ca,Abbàs (nom)
Abbas (name),Q1158601,male given name,German,de,Abbas (Name)
Abbas (name),Q1158601,male given name,English,en,Abbas (name)
Abbas (name),Q1158601,male given name,Persian,fa,عباس
Abbas (name),Q1158601,male given name,French,fr,Abbas (prénom)
Abbas (name),Q1158601,male given name,Kyrgyz,ky,Аббас (түшүнүгү)
Abbas (name),Q1158601,male given name,Polish,pl,Abbas (imię)
Abbas (name),Q1158601,male given name,Russian,ru,Аббас (имя)
Abbas (name),Q1158601,male given name,Slovenian,sl,Abbas
Abbas (name),Q1158601,male given name,Swedish,sv,Abbas (mansnamn)
Abbas (name),Q1158601,male given name,Urdu,ur,عباس (نام)
Abbas (name),Q1158601,male given name,Uzbek,uz,Abbos (ism)
Abbas Quli,Q112957675,No description defined,English,en,Abbas Quli
Abbassi,Q37178544,family name,English,en,Abbassi
Abbe (name),Q16001355,family name,English,en,Abbe (name)
Abbey (given name),Q48981716,name list,English,en,Abbey (given name)
Abbondio,Q3603319,Wikimedia disambiguation page,German,de,Abbondio
Abbondio,Q3603319,Wikimedia disambiguation page,English,en,Abbondio
Abbondio,Q3603319,Wikimedia disambiguation page,Italian,it,Abbondio (disambigua)
Abbud,Q37480908,family name,English,en,Abbud
Abby,Q20898917,female given name,English,en,Abby
Abby,Q20898917,female given name,Igbo,ig,Abby
Abd al-Ali,Q4665264,Wikimedia disambiguation page,German,de,Abdul Ali
Abd al-Ali,Q4665264,Wikimedia disambiguation page,English,en,Abd al-Ali
Abd al-Alim,Q13479668,male given name,Arabic,ar,عبد العليم (اسم)
Abd al-Alim,Q13479668,male given name,Bangla,bn,আব্দুল আলীম (দ্ব্যর্থতা নিরসন)
Abd al-Alim,Q13479668,male given name,Catalan,ca,Abd-al-Alim (nom)
Abd al-Alim,Q13479668,male given name,English,en,Abd al-Alim
Abdul Awwal,Q113999979,No description defined,English,en,Abdul Awwal
Abd al-Azim,Q2511172,male given name,Arabic,ar,عبد العظيم (اسم)
Abd al-Azim,Q2511172,male given name,Catalan,ca,Abd-al-Adhim (nom)
Abd al-Azim,Q2511172,male given name,English,en,Abd al-Azim
Abd al-Azim,Q2511172,male given name,Armenian,hy,Աբդլադիմ
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Arabic,ar,عبد العزيز (اسم)
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Catalan,ca,Abd-al-Aziz
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Czech,cs,Abd al-Azíz
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,German,de,Abd al-Aziz
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,English,en,Abd al-Aziz
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Persian,fa,عبدالعزیز (نام)
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Finnish,fi,Abd-ul-Aziz
Abd al-Aziz,Q10761018,Wikimedia disambiguation page,Latin,la,Abdelazizus
